# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: clue
# Exported by: [OM] Rogue: The Lonely
setting:	replacespawns 0
weapon_ttt_smokegrenade	-282.969147 746.471130 -100.716599	1.560 -65.710 -1.327
weapon_ttt_smokegrenade	-298.139465 733.311584 -98.779877	-28.036 -5.953 87.356
weapon_ttt_smokegrenade	-281.922760 723.474670 -100.724930	-0.003 163.375 -0.737
weapon_ttt_smokegrenade	-290.219757 727.580688 -100.733871	0.506 90.793 -0.538
weapon_ttt_smokegrenade	-273.610718 724.574585 -91.970245	-2.266 79.777 -178.649
weapon_ttt_smokegrenade	-287.800690 740.715759 -93.758904	26.730 -72.269 92.903
weapon_ttt_smokegrenade	-292.785919 752.912170 -99.505676	13.115 -61.881 -89.967
weapon_ttt_smokegrenade	-274.610718 780.296570 -98.722679	25.223 -81.133 91.466
weapon_ttt_smokegrenade	-277.511841 770.842285 -98.712173	-42.974 34.524 88.740
weapon_ttt_smokegrenade	-280.243500 774.804016 -99.640182	11.390 18.129 -43.999
weapon_ttt_smokegrenade	-302.001282 749.640991 -75.104691	-11.147 -163.589 89.577
weapon_ttt_smokegrenade	-278.789276 727.760986 -93.585876	21.340 74.101 -88.729
weapon_ttt_smokegrenade	-276.459442 714.699707 -97.554588	42.498 99.888 105.586
weapon_ttt_smokegrenade	-284.762268 720.703674 -91.762474	3.007 -170.185 -174.070
ttt_random_weapon	753.787292 10.563039 361.697510	-1.451 147.871 84.038
ttt_random_weapon	802.979919 3.624363 409.076721	1.407 5.183 -93.663
ttt_random_weapon	802.601196 50.824116 401.166870	2.100 3.311 -91.912
ttt_random_weapon	751.555908 -76.675919 361.211945	1.741 4.771 -92.905
ttt_random_weapon	15.922318 225.745667 393.210663	1.755 6.654 -92.872
ttt_random_weapon	16.247469 287.192627 393.212799	1.731 5.143 -92.928
ttt_random_weapon	16.251436 297.898010 393.210968	1.751 5.723 -92.880
ttt_random_weapon	23.716297 541.010559 386.689728	-3.557 2.806 -26.686
ttt_random_weapon	157.069687 471.903351 361.217957	1.673 4.766 -93.061
ttt_random_weapon	563.650269 541.484558 409.836945	-7.405 3.769 -8.319
ttt_random_weapon	592.063110 528.271301 409.060547	1.087 1.827 -93.816
ttt_random_weapon	582.691040 524.336914 409.943573	-1.244 2.669 -58.434
ttt_random_weapon	782.941162 495.793915 408.976532	2.257 3.749 -92.863
ttt_random_weapon	482.355225 686.634155 201.215088	1.705 4.768 -92.986
ttt_random_weapon	349.448639 -560.905151 25.214582	1.711 4.769 -92.973
ttt_random_weapon	352.464844 -582.030823 25.206039	1.807 4.775 -92.753
ttt_random_weapon	20.029886 -385.759674 23.748823	7.561 -0.168 -6.957
ttt_random_weapon	19.037285 -65.929497 27.252846	-6.616 31.421 175.908
ttt_random_weapon	18.897675 -32.878487 27.236483	-6.918 31.633 172.893
ttt_random_weapon	364.115936 58.386772 24.216839	1.690 3.807 -94.218
ttt_random_weapon	364.193604 217.794266 24.199213	1.741 3.270 -93.463
ttt_random_weapon	149.256180 734.000183 56.749577	7.828 4.364 -4.706
ttt_random_weapon	88.628738 733.688660 58.702496	-4.103 3.886 -15.224
ttt_random_weapon	-166.291855 696.669800 41.143314	2.317 5.831 -91.361
ttt_random_weapon	-71.208412 922.575867 1.734390	-1.879 -4.816 85.012
ttt_random_weapon	-189.036102 922.536621 1.732160	-1.853 -4.312 84.952
ttt_random_weapon	-209.851730 533.899902 2.756747	-4.465 1.172 -5.187
ttt_random_weapon	-146.766556 371.933868 28.136940	2.271 3.064 -92.934
ttt_random_weapon	-151.444778 317.351715 28.243235	1.173 2.037 -95.020
ttt_random_weapon	416.155762 -456.609131 41.174477	1.252 80.475 -92.981
ttt_random_weapon	412.800079 -448.379669 71.246552	1.282 80.774 -94.212
ttt_random_weapon	647.714355 -634.504883 39.606731	1.278 -1.236 -94.243
ttt_random_weapon	580.719727 -422.554596 22.894472	1.707 4.271 -92.982
ttt_random_weapon	630.844543 -462.556335 1.169773	1.863 28.680 -92.930
ttt_random_weapon	543.560181 -49.932705 23.051725	1.643 4.764 -93.128
ttt_random_weapon	628.449768 -69.668037 18.603437	-2.143 -7.066 86.173
ttt_random_weapon	749.660217 -51.390003 33.714924	-1.708 -7.603 84.560
ttt_random_weapon	600.824219 297.172913 33.240780	1.414 4.746 -93.652
ttt_random_weapon	565.374878 295.358521 33.215084	1.705 4.768 -92.986
ttt_random_weapon	404.792419 385.594421 34.158848	1.363 -85.598 -93.930
ttt_random_weapon	150.553757 1030.998413 49.297722	1.318 -10.702 -93.944
ttt_random_weapon	150.521484 1066.775269 49.297546	1.312 -11.217 -93.990
ttt_random_weapon	150.669250 1176.161743 49.256145	1.757 -10.775 -92.867
ttt_random_weapon	145.922577 1272.797729 47.026482	-8.577 4.662 84.129
ttt_random_weapon	896.019226 129.256073 229.208725	1.777 4.927 -92.822
ttt_random_weapon	893.601563 178.746262 229.205627	1.812 4.928 -92.742
ttt_random_weapon	685.352417 92.075844 229.207596	1.764 5.715 -92.954
ttt_random_weapon	803.338745 272.245209 240.992706	2.258 5.314 -92.879
ttt_random_weapon	206.950302 -46.892178 1.740599	-2.109 168.457 85.360
ttt_random_weapon	221.162811 -291.743286 1.152058	2.211 -2.768 -91.595
ttt_random_weapon	120.784958 -117.226227 1.242659	1.393 14.777 -93.701
ttt_random_weapon	139.324036 599.228821 -114.775215	1.596 4.761 -93.237
ttt_random_weapon	78.485695 617.100952 -114.781593	1.668 4.766 -93.072
ttt_random_weapon	128.943970 757.828125 -114.769402	1.530 4.756 -93.388
ttt_random_weapon	63.219196 744.218140 -114.795914	1.829 4.777 -92.702
ttt_random_weapon	66.318817 681.348450 -114.787506	1.734 4.770 -92.919
ttt_random_weapon	141.386398 679.785095 -114.793961	1.807 4.775 -92.753
ttt_random_ammo	123.461899 758.550659 31.273836	0.010 -3.098 0.008
