# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: dm_richland
# Exported by: [OM] Rogue: The Lonely
setting:	replacespawns 0
ttt_random_weapon	145.149292 -1227.063599 33.396118	0.808 -1.076 -93.789
ttt_random_weapon	146.256302 -1176.216187 33.384308	1.605 -0.119 -92.773
ttt_random_weapon	143.923859 -1066.538696 33.392151	0.767 -1.075 -93.784
ttt_random_weapon	143.379929 -1009.065552 33.401192	0.860 -1.076 -93.794
ttt_random_weapon	607.131653 1929.307861 225.221680	1.631 6.873 -93.157
ttt_random_weapon	607.170776 1868.204712 225.171417	2.196 6.491 -91.861
ttt_random_weapon	-562.403748 1943.082031 225.153427	2.338 5.663 -91.772
ttt_random_weapon	-559.720215 1931.385742 225.154846	2.323 5.662 -91.803
ttt_random_weapon	-1307.717041 2101.187744 190.292679	24.987 -18.905 -100.154
ttt_random_weapon	-1306.957031 2085.850098 184.313797	8.109 6.276 -85.786
ttt_random_weapon	-1310.191162 2091.534424 190.214401	14.793 7.618 -90.382
ttt_random_weapon	-42.674374 1494.321777 81.231949	1.514 4.912 -93.423
ttt_random_weapon	47.840954 1492.422852 81.217186	1.681 4.924 -93.041
ttt_random_weapon	1485.277710 -1413.808105 25.211033	1.751 4.927 -92.882
ttt_random_weapon	1478.729858 -1426.852783 25.197914	1.899 4.927 -92.543
ttt_random_weapon	1482.551636 -1362.213135 25.163101	1.481 5.079 -93.615
ttt_random_weapon	1469.314575 -1368.290894 25.944132	-0.487 -15.877 -65.553
ttt_random_weapon	1479.588379 -1322.312134 25.800686	-2.812 -21.857 87.057
ttt_random_weapon	1469.233276 -1321.264160 27.369135	-2.223 -3.820 -94.744
ttt_random_weapon	-1161.179810 -1237.438477 281.220978	1.639 4.764 -93.139
ttt_random_weapon	-1106.047241 -1232.086914 281.195313	1.928 4.784 -92.476
ttt_random_weapon	-1118.314941 -1160.651245 281.215576	1.700 4.768 -92.999
ttt_random_weapon	-1164.545288 -1166.709961 281.216064	1.694 4.768 -93.012
ttt_random_weapon	-531.208679 1552.765625 81.199188	1.884 5.700 -92.576
ttt_random_weapon	-572.364197 1559.608765 81.203072	1.812 5.715 -92.855
ttt_random_weapon	-378.413055 1545.735596 81.183319	2.022 5.704 -92.423
ttt_random_weapon	-658.218811 669.575439 21.318197	1.332 4.976 -93.840
ttt_random_weapon	-651.518433 713.300903 21.318604	1.332 4.725 -93.840
ttt_random_weapon	-723.907654 722.317383 21.318754	1.332 4.825 -93.838
ttt_random_weapon	-715.051880 670.047668 21.318340	1.332 4.313 -93.840
item_ammo_smg1_ttt	530.828369 1490.716187 17.448423	-0.077 -0.004 -0.031
item_ammo_smg1_ttt	587.156250 1768.911499 48.450974	0.085 0.091 -0.028
item_ammo_smg1_ttt	-608.076782 1840.051758 80.446198	0.079 0.014 -0.028
item_ammo_smg1_ttt	-257.039612 376.549225 176.458008	0.071 0.013 -0.026
weapon_ttt_m16	-608.758423 101.267601 509.284576	26.385 -5.410 -87.144
weapon_ttt_m16	662.238525 107.389824 502.080017	23.240 -30.799 72.993
weapon_ttt_m16	-26.098480 56.606159 -125.629982	2.358 1.051 -85.831
weapon_ttt_m16	14.858755 1530.672607 278.373444	2.430 -4.748 -85.996
item_box_buckshot_ttt	-1007.139648 -310.989258 176.352570	-0.101 -0.392 -0.098
item_box_buckshot_ttt	47.248478 310.386108 -127.530846	-0.036 -0.509 0.017
item_box_buckshot_ttt	-51.473396 307.508423 -127.632706	-0.122 0.151 -0.063
item_box_buckshot_ttt	-596.980774 38.992840 58.399078	0.097 0.314 0.051
item_box_buckshot_ttt	585.398132 -39.365288 58.410320	-0.087 -0.372 0.044
item_box_buckshot_ttt	936.743042 -348.652893 213.303299	0.061 0.136 0.401
item_box_buckshot_ttt	663.961548 1.498624 308.475769	0.814 -0.082 -0.160
item_box_buckshot_ttt	-594.211365 0.688384 308.456604	1.238 -0.080 -0.243
item_box_buckshot_ttt	522.224609 -249.443161 231.381210	-0.070 -0.318 -0.088
item_box_buckshot_ttt	258.536713 242.735397 264.410400	-0.085 0.188 -0.049
item_box_buckshot_ttt	-598.325684 -364.802307 222.365723	-0.085 -0.411 -0.107
item_box_buckshot_ttt	-562.233154 -367.052612 242.393448	-0.133 0.181 0.063
item_box_buckshot_ttt	1439.796631 -1455.235107 71.419121	-0.059 -0.475 -0.065
item_box_buckshot_ttt	-92.220917 1619.448730 -134.604050	-0.065 -0.473 -0.074
item_box_buckshot_ttt	-404.341827 1916.270508 80.355598	-0.142 0.055 -0.093
ttt_random_ammo	123.024170 -1009.428711 18.337635	0.047 0.000 -0.025
ttt_random_ammo	122.130676 -1047.059082 18.417257	1.656 0.036 2.004
ttt_random_ammo	122.252792 -1099.557007 18.380981	0.193 0.001 0.175
ttt_random_ammo	122.394829 -1160.120361 18.369165	0.090 0.000 0.044
ttt_random_ammo	122.136322 -1169.812134 18.424334	1.458 0.034 1.760
ttt_random_ammo	122.381294 -1205.807983 18.455076	0.856 -0.024 -1.039
ttt_random_ammo	122.443039 -1214.808838 18.463619	0.660 -0.021 -0.798
ttt_random_ammo	122.609177 -1238.053711 18.357512	0.060 -0.000 -0.001
ttt_random_ammo	122.665825 -1246.310425 18.349035	0.051 0.000 -0.014
ttt_random_ammo	631.330322 1964.485962 276.325317	0.046 -0.000 0.032
ttt_random_ammo	632.333069 1953.921997 276.351196	0.052 0.000 -0.011
ttt_random_ammo	634.014893 1908.052246 276.351196	0.053 0.000 -0.011
ttt_random_ammo	634.732422 1891.150024 276.337646	0.047 0.000 -0.025
ttt_random_ammo	612.803345 1961.633301 224.361496	0.064 0.000 0.011
ttt_random_ammo	613.112183 1950.389893 224.390366	0.450 0.003 0.494
ttt_random_ammo	613.674683 1904.869629 224.365387	0.073 0.000 0.024
ttt_random_ammo	613.817810 1895.875488 224.388916	0.390 -0.002 -0.421
ttt_random_ammo	-585.100281 1920.823730 224.335892	-0.045 -0.000 -0.026
ttt_random_ammo	-584.503052 1929.053467 224.387695	-0.237 -0.001 0.232
ttt_random_ammo	-583.906860 1937.282715 224.393494	-0.351 -0.002 0.373
ttt_random_ammo	-583.204651 1947.004761 224.340652	-0.046 -0.000 -0.023
ttt_random_ammo	-582.569580 1955.702026 224.358368	-0.058 -0.000 0.001
ttt_random_ammo	-583.265137 1963.000000 224.325958	-0.045 -0.000 -0.031
