# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_67thway_v3
# Exported by: [OM] Rogue: The Lonely
setting:	replacespawns 0
weapon_ttt_smokegrenade	-1160.369995 1447.310059 149.735001	0.000 0.000 0.000
weapon_ttt_smokegrenade	-1174.469971 1447.119995 149.735001	0.000 0.000 0.000
weapon_ttt_smokegrenade	-1191.949951 1445.790039 149.735001	0.000 0.000 0.000
weapon_ttt_smokegrenade	-1208.069946 1446.000000 149.735001	0.000 0.000 0.000
ttt_random_weapon	-888.000000 -904.000000 -33.627102	0.000 0.000 0.000
ttt_random_weapon	-904.000000 -896.000000 -33.627102	0.000 0.000 0.000
ttt_random_weapon	-936.000000 -888.000000 -33.627102	0.000 0.000 0.000
ttt_random_weapon	-944.000000 -904.000000 -33.627102	0.000 0.000 0.000
ttt_random_weapon	936.739990 1345.250000 122.373001	0.000 0.000 0.000
ttt_random_weapon	943.059021 1280.290039 122.373001	0.000 0.000 0.000
ttt_random_weapon	1315.640015 1110.859985 122.373001	0.000 89.000 0.000
ttt_random_weapon	-2223.379883 6214.379883 218.373001	0.000 0.000 0.000
ttt_random_weapon	-2225.500000 6123.410156 218.373001	0.000 0.000 0.000
ttt_random_weapon	-2229.830078 6026.379883 218.373001	0.000 0.000 0.000
ttt_random_weapon	-394.263000 2505.919922 90.372902	0.000 0.000 0.000
ttt_random_weapon	-388.950012 2430.820068 90.372902	0.000 0.000 0.000
ttt_random_weapon	-384.165985 2473.949951 90.372902	0.000 0.000 0.000
ttt_random_weapon	-1006.349976 5912.069824 74.372902	0.000 0.000 0.000
ttt_random_weapon	-999.372986 5861.589844 74.372902	0.000 0.000 0.000
ttt_random_weapon	-990.560974 5798.390137 74.372902	0.000 0.000 0.000
ttt_random_weapon	-991.924988 5755.830078 74.372902	0.000 0.000 0.000
ttt_random_weapon	-1692.459961 5760.060059 74.372902	0.000 0.000 0.000
ttt_random_weapon	-1692.869995 5826.359863 74.372902	0.000 0.000 0.000
ttt_random_weapon	-1701.229980 5882.240234 74.372902	0.000 0.000 0.000
ttt_random_weapon	-2233.379883 5734.160156 58.372898	0.000 0.000 0.000
ttt_random_weapon	-2440.850098 5729.819824 58.372898	0.000 0.000 0.000
ttt_random_weapon	-1846.880005 5184.459961 58.372898	0.000 0.000 0.000
ttt_random_weapon	-1836.069946 5216.330078 58.372898	0.000 0.000 0.000
ttt_random_weapon	-1216.810059 5223.000000 58.372898	0.000 0.000 0.000
ttt_random_weapon	-1497.932739 1426.898926 125.727173	-1.795 -5.558 84.820
ttt_random_weapon	-1385.428345 1428.009399 125.162102	1.967 179.100 -93.702
ttt_random_weapon	-1319.750000 1427.662964 125.238708	1.215 -6.921 -94.385
ttt_random_weapon	-1243.408447 1427.705811 125.169090	1.406 -6.619 -94.149
ttt_random_weapon	-1465.903564 1547.782349 105.245468	1.246 -6.919 -94.480
ttt_random_weapon	-1394.864868 1547.822754 105.247574	1.327 -6.993 -93.840
ttt_random_weapon	-1324.080566 1547.755005 105.198265	1.421 -6.349 -93.094
ttt_random_weapon	-1276.555298 1442.802490 105.136063	1.388 4.658 -94.175
ttt_random_weapon	-1391.012939 1442.718628 105.232750	1.505 4.364 -93.444
ttt_random_weapon	-1465.288208 1442.647095 105.106369	1.370 4.500 -93.573
ttt_random_weapon	-1418.871338 1442.589233 125.141106	1.293 4.191 -93.666
ttt_random_weapon	-1364.627319 1442.674805 125.188660	1.346 4.777 -94.171
ttt_random_weapon	-1240.952637 1444.250366 125.233307	1.487 1.794 -94.422
ttt_random_weapon	-923.848022 1273.831543 141.206665	1.800 7.417 -92.769
ttt_random_weapon	-939.170898 1322.579834 141.253632	1.567 56.334 -94.613
ttt_random_weapon	-678.296082 874.526184 110.342514	6.119 6.013 -96.654
ttt_random_weapon	-722.163208 905.735229 111.585175	6.241 6.014 -96.266
ttt_random_weapon	-688.357971 926.041748 107.724899	6.287 6.015 -96.119
ttt_random_weapon	-864.971375 -649.464355 105.221336	1.634 4.988 -93.148
ttt_random_weapon	-1201.812378 -267.718994 122.106079	1.280 -1.910 -94.263
ttt_random_weapon	-978.579407 -903.377686 -42.793110	1.798 4.929 -92.775
ttt_random_weapon	-981.546265 -880.844604 -42.803120	1.721 4.425 -92.799
ttt_random_weapon	-931.852600 -809.907227 -42.383560	-0.913 -150.024 84.023
ttt_random_weapon	-750.380371 -966.564270 -33.071854	-1.836 71.175 84.600
ttt_random_weapon	-1180.359619 103.324188 123.748703	1.232 3.954 -94.564
ttt_random_weapon	-1218.698608 100.108398 123.736046	1.157 3.720 -95.015
ttt_random_weapon	-1213.130127 193.234497 123.756042	1.343 4.030 -93.861
ttt_random_weapon	-1193.143311 199.629517 123.636375	1.277 -23.082 -93.778
ttt_random_weapon	-913.730591 203.161163 105.205063	1.791 5.713 -92.898
ttt_random_weapon	-1235.503662 -105.972397 105.161667	2.251 5.678 -91.951
