# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_traitormotel_v10
# Exported by: Lanix
setting:	replacespawns 1
weapon_zm_pistol	661.6304 685.5196 32.2875	-1.397 162.739 91.523
weapon_zm_pistol	654.8195 662.5269 32.3530	0.585 36.679 88.876
weapon_zm_pistol	-958.9597 -1054.3325 -47.7022	0.354 37.161 87.886
weapon_zm_pistol	-843.6998 -1041.6411 -47.6547	0.155 37.194 88.994
weapon_zm_pistol	-857.6464 -1238.5809 -47.7021	0.354 37.161 87.886
weapon_zm_pistol	-755.3780 714.7534 96.2454	-0.585 35.368 88.717
weapon_zm_pistol	-1079.9775 311.1338 97.6079	0.742 -39.464 -89.877
weapon_zm_pistol	-1236.4135 309.1410 97.4351	-0.093 -40.840 -88.015
item_ammo_pistol_ttt	329.3483 553.3391 0.4579	-0.480 0.280 -0.421
item_ammo_pistol_ttt	335.4355 557.9764 0.4813	0.332 0.849 0.001
item_ammo_pistol_ttt	341.6749 554.2648 0.4746	-0.523 0.231 -0.308
item_ammo_pistol_ttt	334.8620 613.0573 0.4440	-0.305 1.234 -0.455
item_ammo_pistol_ttt	346.2912 613.3492 0.4430	-0.212 0.347 -0.384
item_ammo_pistol_ttt	352.4142 611.9998 0.4475	1.030 0.721 0.000
item_ammo_pistol_ttt	324.9510 649.2765 0.4444	-0.544 0.173 -0.524
item_ammo_pistol_ttt	335.2213 649.2797 0.4402	-0.528 0.242 -0.552
item_ammo_pistol_ttt	341.2358 649.8551 0.4338	-0.451 0.157 -0.569
item_ammo_pistol_ttt	330.5434 709.1964 0.4514	-0.316 0.709 -0.410
item_ammo_pistol_ttt	340.3692 710.3573 0.4696	0.316 0.002 -0.025
item_ammo_pistol_ttt	348.7801 709.9789 0.3406	-0.138 -0.019 -0.042
item_ammo_pistol_ttt	331.6876 841.2933 0.4483	-0.780 0.169 -0.569
item_ammo_pistol_ttt	344.0101 841.3481 0.4464	-0.675 0.224 -0.549
item_ammo_pistol_ttt	358.7321 841.7777 0.3746	-0.109 -0.020 -0.033
item_ammo_pistol_ttt	-752.1445 661.7639 96.3068	-0.000 0.000 -0.000
item_ammo_pistol_ttt	-742.9037 660.2701 96.4087	0.000 0.000 0.000
item_ammo_pistol_ttt	-734.5500 660.0546 96.3677	-0.000 0.000 0.000
item_ammo_pistol_ttt	-663.8489 -572.1694 96.4303	0.117 -5.132 -0.064
item_ammo_pistol_ttt	-680.6846 -571.8972 96.4136	-0.074 -0.020 -0.023
item_ammo_pistol_ttt	-648.9743 -575.5228 96.3688	-0.114 -0.019 -0.034
item_ammo_pistol_ttt	-408.8131 -831.2990 107.9453	0.000 4.921 -0.000
item_ammo_pistol_ttt	-396.0833 -826.2841 107.9453	-0.000 20.179 -0.000
item_ammo_pistol_ttt	-378.5697 -824.0663 107.9452	0.001 2.389 0.000
item_ammo_pistol_ttt	-489.9701 -1053.3878 184.3456	-0.130 -0.020 -0.031
item_ammo_pistol_ttt	-483.1690 -1053.1166 184.3793	0.026 0.044 -0.007
item_ammo_pistol_ttt	-488.4255 -1022.8059 184.7235	-0.048 -0.021 -0.011
item_ammo_pistol_ttt	-479.7544 -1022.2728 184.6302	0.032 0.044 -0.009
item_ammo_pistol_ttt	-491.9294 -913.9090 184.1416	-0.054 -0.010 -0.006
item_ammo_pistol_ttt	-484.0715 -913.2778 184.0631	0.033 0.043 -0.009
item_ammo_pistol_ttt	121.3066 -1113.7053 96.4752	-1.260 0.241 -0.299
item_ammo_pistol_ttt	113.6493 -1113.9458 96.4530	-0.301 -0.201 -0.231
item_ammo_pistol_ttt	107.5247 -1116.5835 96.4228	-0.322 0.130 -0.411
item_ammo_pistol_ttt	-838.7955 -1119.4894 78.7183	-87.291 11.263 2.455
item_ammo_pistol_ttt	-781.9827 -1127.4673 79.7927	-87.661 -165.352 177.803
item_ammo_pistol_ttt	-901.8741 -1256.1974 80.3144	-88.464 -174.764 -173.254
item_ammo_pistol_ttt	-830.8983 -1203.7919 80.5092	-86.335 -167.858 -173.398
item_ammo_pistol_ttt	-767.7281 -1196.4796 78.4148	-87.103 12.279 6.531
item_ammo_pistol_ttt	-728.4451 -1270.0214 80.1708	-89.720 113.095 -93.827
item_ammo_pistol_ttt	-797.3336 -1342.6895 79.3103	-85.456 4.578 9.551
item_ammo_pistol_ttt	-870.4342 -1333.3994 78.4628	-87.456 6.363 11.953
item_ammo_pistol_ttt	-989.6262 -1301.4812 78.8573	-87.986 7.413 12.080
item_ammo_pistol_ttt	-757.4767 728.2078 96.3543	-0.126 -0.019 -0.038
item_ammo_pistol_ttt	-741.3081 733.1785 96.3783	-0.105 -0.019 -0.032
item_ammo_pistol_ttt	-731.4194 715.7687 96.3453	-0.134 -0.019 -0.041
item_ammo_pistol_ttt	-408.1613 1057.1525 96.4604	-0.062 -0.020 -0.019
item_ammo_pistol_ttt	-391.9306 1056.6689 96.4835	-0.042 -0.020 -0.013
item_ammo_pistol_ttt	-376.9454 1042.3246 96.4695	-0.054 -0.020 -0.016
item_ammo_pistol_ttt	-380.7499 1066.0963 96.4263	-0.092 -0.020 -0.028
item_ammo_pistol_ttt	-397.5569 1079.2618 96.3780	-0.134 -0.019 -0.041
item_ammo_pistol_ttt	-369.9932 1080.8542 96.3609	-0.149 -0.018 -0.045
item_ammo_pistol_ttt	199.3537 -729.6844 96.4693	0.715 0.009 0.040
item_ammo_pistol_ttt	199.4452 -750.2571 96.3543	-0.126 -0.019 -0.038
item_ammo_pistol_ttt	207.2005 -729.5100 96.3657	-0.149 -0.013 -0.014
item_ammo_pistol_ttt	-1116.9746 305.3345 96.4348	-0.619 0.036 -0.613
item_ammo_pistol_ttt	-1111.8621 323.8831 96.4615	-0.137 0.505 -0.287
item_ammo_pistol_ttt	-1104.2037 305.2640 96.4526	-0.498 0.158 -0.455
item_ammo_pistol_ttt	-1217.5548 315.8324 96.3282	-0.149 -0.018 -0.045
item_ammo_pistol_ttt	-1209.0850 313.8157 96.3476	-0.132 -0.019 -0.040
item_ammo_pistol_ttt	-1200.8367 311.2298 96.3628	-0.119 -0.019 -0.036
item_ammo_pistol_ttt	-1044.7811 335.7639 96.1415	0.829 -0.333 -0.000
item_ammo_pistol_ttt	-1037.4330 334.8183 96.0528	-0.114 -0.020 -0.034
item_ammo_pistol_ttt	-1031.1129 335.4108 96.0693	-0.099 -0.020 -0.030
item_ammo_pistol_ttt	-1084.2971 -206.4729 96.4649	-0.030 -0.020 -0.009
item_ammo_pistol_ttt	-1093.2249 -206.5831 96.3686	-0.230 -0.023 -0.098
item_ammo_pistol_ttt	-1103.0712 -205.4245 96.3586	-0.123 -0.019 -0.037
item_ammo_pistol_ttt	-1101.9470 -183.3769 96.4518	0.522 -0.134 0.144
item_ammo_pistol_ttt	-1092.1433 -185.4295 96.3783	-0.105 -0.019 -0.032
item_ammo_pistol_ttt	-1081.3168 -183.6945 96.4210	-0.068 -0.020 -0.021
weapon_zm_revolver	-2.3928 670.8691 33.9496	2.632 -20.154 -84.174
weapon_zm_revolver	2.9237 688.4429 33.9132	2.493 -18.644 -84.526
weapon_zm_revolver	-8.2863 535.3622 33.9386	2.744 -20.107 -83.740
weapon_zm_revolver	-1.9067 554.9115 33.9481	2.647 -20.147 -84.115
weapon_zm_revolver	-1034.7126 -413.8096 116.6954	3.129 144.098 83.168
weapon_zm_revolver	-1156.8608 610.2191 122.5791	2.183 -19.173 -83.535
weapon_zm_revolver	-789.9921 -17.9415 111.1164	-27.390 32.948 -65.525
weapon_zm_revolver	-677.9802 210.2979 253.8967	2.459 -19.810 -83.386
weapon_zm_revolver	-325.8696 735.7007 101.9178	2.571 -19.663 -83.621
ttt_random_weapon	-920.0934 1002.1301 96.9464	1.602 5.787 -93.223
ttt_random_weapon	-1110.8412 -1498.6332 142.6416	1.777 6.494 -92.035
ttt_random_weapon	-616.4217 -852.8266 97.2445	1.215 -2.435 -94.708
ttt_random_weapon	-392.1609 416.2334 293.6654	3.938 2.794 -91.758
ttt_random_weapon	-270.3182 512.3221 293.4908	3.040 9.768 -93.400
ttt_random_weapon	598.8234 -584.4996 -126.8013	1.890 4.927 -92.563
ttt_random_weapon	650.6641 -586.7555 -126.7823	1.676 4.924 -93.053
ttt_random_weapon	685.3242 -1011.8328 1.2364	1.463 4.670 -93.540
ttt_random_weapon	-584.0571 230.7489 -78.7931	1.798 4.929 -92.775
ttt_random_weapon	-634.7906 269.6420 -78.7913	1.777 4.928 -92.822
ttt_random_weapon	-677.9376 309.6749 -78.7777	1.623 4.921 -93.173
ttt_random_weapon	-721.5861 348.8833 -78.7937	1.805 4.928 -92.758
ttt_random_weapon	-934.2136 27.0058 -22.7966	1.837 4.714 -92.686
item_ammo_smg1_ttt	297.0661 947.5558 0.5519	0.003 -0.244 -0.080
item_ammo_smg1_ttt	297.6852 927.8022 0.4935	0.862 -0.225 -0.241
item_ammo_smg1_ttt	-435.6781 737.6185 100.4451	0.314 -0.002 0.052
item_ammo_smg1_ttt	-461.6989 738.3134 101.0146	-2.020 0.021 1.731
item_ammo_smg1_ttt	-643.5519 299.4107 96.4409	0.078 -2.795 -0.023
item_ammo_smg1_ttt	-659.1443 273.6225 96.5048	0.980 -2.206 -0.252
item_ammo_smg1_ttt	-958.6422 -420.2648 96.4818	-0.082 -0.002 -0.172
item_ammo_smg1_ttt	-971.6299 -419.5907 96.4265	0.601 -0.003 0.392
item_ammo_smg1_ttt	-920.0398 1170.4183 96.5820	-0.668 -2.762 0.530
item_ammo_smg1_ttt	-907.7028 1171.7255 96.5282	0.472 -0.006 -0.273
item_ammo_smg1_ttt	-751.7556 -285.2216 120.4306	0.751 -0.002 0.492
item_ammo_smg1_ttt	-737.1539 -277.2003 120.4286	0.671 -0.003 0.438
weapon_zm_shotgun	274.2696 759.2266 1.2438	0.000 6.798 82.501
weapon_zm_shotgun	-1114.7676 123.6346 97.0178	-0.695 -11.297 -87.657
weapon_zm_shotgun	-484.8691 -1115.4561 145.0797	-0.422 -9.197 -84.474
weapon_zm_shotgun	-796.2775 -107.8745 90.2795	8.018 5.616 36.312
weapon_ttt_m16	330.0742 964.6753 8.1083	-61.647 151.658 84.022
weapon_ttt_m16	-796.7941 665.4788 104.7450	-69.802 126.728 -89.890
weapon_ttt_m16	-692.6789 -514.4795 105.1531	-77.909 137.744 113.806
weapon_ttt_m16	-356.2261 -835.5543 108.6734	2.024 41.989 85.224
weapon_ttt_m16	67.9508 -1114.7966 104.8280	-77.825 151.888 95.433
weapon_ttt_m16	232.7906 -734.7251 104.5172	-61.811 50.481 -91.209
weapon_zm_molotov	-3.9553 591.4129 36.5364	2.006 0.003 -1.907
weapon_zm_molotov	-2.5545 622.1899 36.5138	0.342 0.002 -0.035
weapon_zm_molotov	9.8071 607.9173 36.5564	3.574 -0.098 -3.720
weapon_zm_molotov	9.3612 118.2445 20.5872	2.718 -0.133 -2.801
weapon_zm_molotov	11.6654 62.2558 20.6040	2.228 -0.127 -2.288
weapon_zm_molotov	5.4485 -371.2576 20.5256	0.637 0.009 -0.353
weapon_zm_molotov	6.6746 -351.0211 20.5360	1.679 0.008 -1.520
weapon_zm_molotov	-794.8490 -37.8604 100.5370	2.355 -0.004 -2.278
weapon_zm_molotov	-784.9821 -28.4931 100.5546	3.547 -0.098 -3.662
item_box_buckshot_ttt	297.5623 742.6003 0.3813	-0.197 0.001 0.244
item_box_buckshot_ttt	288.0621 742.4382 0.4300	-0.653 -0.007 0.579
item_box_buckshot_ttt	278.7994 741.5791 0.4766	0.861 -0.111 -0.206
item_box_buckshot_ttt	-1088.6472 96.3279 96.3895	-0.994 0.020 0.880
item_box_buckshot_ttt	-1116.1154 105.0956 96.3931	-0.965 -0.003 0.854
item_box_buckshot_ttt	-1099.8522 119.5883 97.8363	0.000 -2.824 19.717
item_box_buckshot_ttt	-485.9704 -1077.1733 140.1349	6.762 0.272 -0.191
item_box_buckshot_ttt	-478.5018 -1090.7493 139.3147	6.736 0.260 -0.180
item_box_buckshot_ttt	-469.9879 -1080.5675 138.3705	6.749 0.273 -0.185
