# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_bank_b3
# Exported by: [REALM] Robopossum
setting:	replacespawns 0
weapon_ttt_smokegrenade	337.606995 2485.610107 -634.632996	0.000 0.000 0.000
weapon_ttt_smokegrenade	-938.265991 909.000000 -607.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	-938.265991 884.000000 -607.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	-938.265991 864.000000 -607.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	-938.265991 845.000000 -607.000000	0.000 0.000 0.000
ttt_random_weapon	613.653015 2577.239990 -115.900002	0.000 0.000 0.000
ttt_random_weapon	198.186996 1347.040039 -613.270020	0.000 0.000 0.000
ttt_random_weapon	806.742004 2691.679932 -608.833984	0.000 0.000 0.000
ttt_random_weapon	329.765015 2003.290039 -694.627014	0.000 0.000 0.000
ttt_random_weapon	1966.390015 775.651001 -246.626999	0.000 0.000 0.000
ttt_random_weapon	763.078003 2584.169922 -115.901001	0.000 0.000 0.000
ttt_random_weapon	-883.000000 853.000000 -680.627014	0.000 274.500 73.500
ttt_random_weapon	-881.000000 904.000000 -680.627014	0.000 274.500 73.500
ttt_random_weapon	-840.000000 905.000000 -680.627014	0.000 274.500 73.500
ttt_random_weapon	-844.000000 854.000000 -680.627014	0.000 274.500 73.500
ttt_random_weapon	-912.403992 786.994995 -615.942017	0.000 274.500 73.500
ttt_random_weapon	-912.549011 969.932007 -615.942017	0.000 274.500 73.500
ttt_random_weapon	1404.250000 1035.729980 -246.626999	0.000 90.000 0.000
ttt_random_weapon	1727.910034 2615.379883 -246.626999	0.000 90.000 0.000
ttt_random_weapon	-460.066010 2679.219971 -246.626999	0.000 90.000 0.000
ttt_random_weapon	1281.920044 1887.949951 -643.846008	0.000 0.000 0.000
ttt_random_weapon	1167.060059 2862.320068 -246.626999	0.000 0.000 0.000
ttt_random_weapon	2045.849976 2296.280029 -246.626999	0.000 0.000 0.000
ttt_random_weapon	1994.400024 52.287201 -180.052002	0.000 0.000 0.000
ttt_random_weapon	-369.596985 286.112000 -246.626999	0.000 0.000 0.000
ttt_random_weapon	-806.051025 1915.739990 -246.626999	0.000 0.000 0.000
ttt_random_weapon	113.014000 2714.790039 -246.626999	0.000 0.000 0.000
ttt_random_weapon	302.177002 2503.810059 -629.994995	0.000 0.000 0.000
ttt_random_weapon	835.979980 2660.020020 -590.616028	0.000 0.000 0.000
ttt_random_weapon	1020.020020 2203.600098 -629.994995	0.000 0.000 0.000
ttt_random_weapon	503.171997 934.747009 -686.627014	0.000 0.000 0.000
ttt_random_weapon	-764.797974 1306.900024 -141.617004	0.000 0.000 0.000
ttt_random_weapon	-865.419006 2207.929932 -246.626999	0.000 0.000 0.000
ttt_random_weapon	269.394012 2973.810059 -246.626999	0.000 0.000 0.000
ttt_random_weapon	2194.209961 1542.949951 -141.617004	0.000 0.000 0.000
ttt_random_weapon	2271.120117 218.514999 -246.626999	0.000 0.000 0.000
ttt_random_weapon	274.779663 755.244934 -254.871979	1.678 25.150 -92.407
ttt_random_weapon	122.895752 1274.701904 -254.751968	1.332 3.934 -93.841
ttt_random_weapon	233.220169 2467.267090 -254.779480	1.644 4.988 -93.127
ttt_random_weapon	864.374084 2355.289795 -254.764877	1.478 4.973 -93.506
ttt_random_weapon	1050.109985 1771.609497 -254.779907	1.648 4.988 -93.116
ttt_random_weapon	1442.827637 1751.803833 -62.805096	1.899 5.713 -92.676
ttt_random_weapon	1486.973999 2315.806885 -62.795589	1.798 5.714 -92.884
ttt_random_weapon	304.184082 2296.495605 -62.272270	-2.241 -173.196 85.347
ttt_random_weapon	838.775269 837.317078 -38.164188	1.474 4.009 -93.820
weapon_ttt_m16	1615.410034 1879.119995 -171.453003	-19.501 90.000 -90.000
weapon_ttt_m16	687.796997 1533.369995 -251.266998	-19.501 90.000 -90.000
weapon_ttt_m16	-777.000000 784.000000 -627.000000	0.000 0.000 73.500
weapon_ttt_m16	1120.719971 1773.819946 -171.503006	0.000 0.000 0.000
weapon_ttt_m16	857.161987 1923.939941 -146.307007	0.000 154.500 0.000
item_box_buckshot_ttt	1365.280029 1774.290039 -175.891006	0.000 282.000 0.000
item_box_buckshot_ttt	1354.000000 1782.000000 -175.891006	0.000 235.500 0.000
item_box_buckshot_ttt	-350.000000 1222.000000 -243.705994	0.000 62.000 0.000
ttt_random_ammo	1616.000000 1874.000000 -223.498993	0.000 0.000 0.000
ttt_random_ammo	1616.000000 1896.000000 -223.498993	0.000 0.000 0.000
ttt_random_ammo	1616.000000 1916.000000 -223.498993	0.000 89.000 0.000
ttt_random_ammo	1616.000000 1916.000000 -196.000000	0.000 90.500 0.000
ttt_random_ammo	1616.000000 1874.000000 -196.000000	0.000 0.000 0.000
ttt_random_ammo	1616.000000 1896.000000 -196.000000	0.000 0.000 0.000
ttt_random_ammo	1616.000000 1916.000000 -246.000000	0.000 90.000 0.000
ttt_random_ammo	1616.000000 1874.000000 -246.000000	0.000 0.000 0.000
ttt_random_ammo	1616.000000 1896.000000 -246.000000	0.000 0.000 0.000
ttt_random_ammo	607.193970 2175.570068 -33.999401	0.000 0.000 0.000
ttt_random_ammo	722.403992 2217.780029 -63.999401	0.000 0.000 0.000
ttt_random_ammo	666.664001 2466.919922 -63.999401	0.000 0.000 0.000
ttt_random_ammo	507.347992 1851.060059 -63.999401	0.000 0.000 0.000
ttt_random_ammo	610.018005 1905.939941 -33.999401	0.000 0.000 0.000
ttt_random_ammo	940.468994 2448.350098 -255.998993	0.000 0.000 0.000
ttt_random_ammo	1514.000000 1648.000000 -204.044006	0.000 0.000 0.000
ttt_random_ammo	1265.599976 1650.949951 -231.322998	0.000 0.000 0.000
ttt_random_ammo	689.827026 1614.420044 -215.998993	0.000 90.000 0.000
ttt_random_ammo	685.500000 1364.930054 -215.998993	0.000 90.000 0.000
ttt_random_ammo	842.822021 1234.439941 -215.998993	0.000 180.000 0.000
ttt_random_ammo	144.167007 1899.260010 -135.046997	0.000 0.000 0.000
ttt_random_ammo	795.854980 2678.030029 -618.206970	0.000 0.000 0.000
ttt_random_ammo	929.562012 1551.959961 -605.218994	0.000 0.000 0.000
ttt_random_ammo	472.895996 931.961975 -695.999023	0.000 0.000 0.000
ttt_random_ammo	689.935974 1924.609985 -653.218994	0.000 0.000 0.000
ttt_random_ammo	546.289978 2248.239990 -225.414993	0.000 0.000 0.000
ttt_random_ammo	670.918030 2588.810059 -164.988007	0.000 98.000 0.000
ttt_random_ammo	711.833008 2560.719971 -164.391006	0.000 287.000 0.000
ttt_random_ammo	646.552979 2631.489990 -168.563004	0.000 264.000 0.000
ttt_random_ammo	625.767029 2558.679932 -165.518997	0.000 132.000 0.000
ttt_random_ammo	728.385010 2631.340088 -169.852997	0.000 242.000 0.000
ttt_random_ammo	717.500000 2588.770020 -125.273003	0.000 98.000 0.000
ttt_random_ammo	690.375000 1479.339966 -255.998993	0.000 90.000 0.000
ttt_random_ammo	-333.407013 1172.099976 -243.998993	0.000 0.000 0.000
ttt_random_ammo	192.925003 2249.040039 -255.998993	0.000 98.000 0.000
ttt_random_ammo	800.374023 1230.469971 -254.998993	0.000 287.000 0.000
ttt_random_ammo	190.835999 1303.069946 -662.999023	0.000 264.000 0.000
ttt_random_ammo	292.076996 1978.959961 -702.999023	0.000 132.000 0.000
ttt_random_ammo	778.531006 2767.860107 -702.999023	0.000 242.000 0.000
ttt_random_ammo	29.662300 2714.010010 -702.999023	0.000 159.000 0.000
ttt_random_ammo	195.052994 2071.870117 -255.998993	0.000 205.000 0.000
ttt_random_ammo	547.888977 2473.889893 -255.998993	0.000 168.000 0.000
ttt_random_ammo	466.708008 2336.199951 -225.414993	0.000 168.000 0.000
ttt_random_ammo	201.602997 1983.770020 -254.998993	0.000 118.000 0.000
ttt_random_ammo	1566.790039 1667.359985 -254.998993	0.000 113.000 0.000
ttt_random_ammo	849.507019 1509.180054 -62.999401	0.000 38.000 0.000
ttt_random_ammo	525.304993 915.030029 -62.999401	0.000 7.000 0.000
ttt_random_ammo	172.110992 2056.350098 -63.999401	0.000 276.000 0.000
ttt_random_ammo	1061.910034 2334.719971 -31.128599	0.000 276.000 0.000
ttt_random_ammo	1220.939941 2469.969971 -62.999401	0.000 73.000 0.000
ttt_random_ammo	-764.000000 970.854980 -599.000000	0.000 0.000 0.000
ttt_random_ammo	-801.125000 970.570007 -599.000000	0.000 0.000 0.000
ttt_random_ammo	-845.504028 969.706970 -599.000000	0.000 0.000 0.000
ttt_random_ammo	-844.504028 969.706970 -625.000000	0.000 0.000 0.000
ttt_random_ammo	-800.125000 970.570007 -625.000000	0.000 0.000 0.000
ttt_random_ammo	-763.000000 970.854980 -625.000000	0.000 0.000 0.000
ttt_random_ammo	-845.504028 969.706970 -653.000000	0.000 0.000 0.000
