# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_comancher_censored
# Exported by: [OM] Rogue: The Holstered
setting:	replacespawns 1
ttt_random_weapon	-83.070679 1659.394409 35.578808	1.265 -18.200 -94.480
ttt_random_weapon	-55.259533 1680.237183 48.559605	1.675 5.516 -92.942
ttt_random_weapon	-98.648445 1468.878784 35.439590	2.435 -22.520 -91.311
ttt_random_weapon	-102.383873 1461.898804 48.546124	1.082 22.025 -93.047
ttt_random_weapon	-280.705322 1572.516479 34.479935	-37.131 5.692 -36.307
ttt_random_weapon	-286.543030 1522.111694 25.178349	1.246 9.554 -93.912
ttt_random_weapon	-687.425903 1551.337891 33.717667	-2.436 24.413 86.456
ttt_random_weapon	-611.406311 1553.737793 37.746330	14.624 14.441 88.175
ttt_random_weapon	-980.963562 1420.091797 33.194775	1.934 4.924 -92.462
ttt_random_weapon	-1072.508301 1442.390869 33.208115	1.784 4.928 -92.806
ttt_random_weapon	-1342.463989 1523.970215 33.211033	1.751 4.927 -92.882
ttt_random_weapon	-1466.284912 1517.022705 33.213734	1.720 4.926 -92.952
ttt_random_weapon	-1853.914429 1053.915039 185.217484	1.678 4.766 -93.049
ttt_random_weapon	-1343.236938 889.370056 185.202713	1.844 4.778 -92.667
ttt_random_weapon	-1322.619629 435.280182 185.190277	1.985 4.788 -92.346
ttt_random_weapon	-1335.786255 503.838898 185.215576	1.700 4.768 -92.999
ttt_random_weapon	-1610.827637 683.412170 44.081764	-15.148 -19.951 90.181
ttt_random_weapon	-1608.847900 791.426392 43.266510	-12.014 7.032 -94.281
ttt_random_weapon	-2458.437012 555.622559 410.922943	2.331 4.698 -91.359
ttt_random_weapon	-2782.284912 554.530701 410.972321	1.218 3.880 -93.560
ttt_random_weapon	-2791.172119 1159.930420 412.539612	1.985 4.788 -92.346
ttt_random_weapon	-3334.020752 2127.451172 216.720078	1.602 4.601 -93.191
ttt_random_weapon	-3768.878906 1970.194946 9.208510	1.779 4.773 -92.817
ttt_random_weapon	-3779.726563 1935.363647 385.224640	1.597 4.595 -93.234
ttt_random_weapon	-2914.615479 3005.438477 9.222567	1.621 4.762 -93.180
ttt_random_weapon	-2396.675537 2915.417969 25.205065	1.791 5.713 -92.898
ttt_random_weapon	-2461.352539 2919.960938 25.194092	1.907 5.708 -92.658
ttt_random_weapon	-2105.921631 2345.473633 38.176071	0.999 4.071 -95.106
ttt_random_weapon	-2099.864746 2187.664551 38.083286	2.197 2.979 -92.290
ttt_random_weapon	-2773.555420 2342.039551 38.069244	2.206 4.794 -91.916
ttt_random_weapon	-2179.960693 1844.832886 145.188950	1.962 5.706 -92.546
ttt_random_weapon	-2711.687256 1858.183960 145.198029	1.866 5.710 -92.745
ttt_random_weapon	-2349.137695 873.648132 395.496246	1.876 5.714 -92.723
ttt_random_weapon	-2232.842041 1018.468933 394.026886	2.219 2.006 -92.456
ttt_random_weapon	-3694.405762 -21.878508 273.201599	1.857 4.928 -92.638
ttt_random_weapon	-3562.287109 -11.007068 273.197937	1.899 4.927 -92.543
ttt_random_weapon	-3622.752197 269.298309 1.194775	1.934 4.924 -92.462
ttt_random_weapon	-3489.242920 280.986969 1.221523	1.632 4.921 -93.153
ttt_random_weapon	-3342.794189 278.520752 1.202276	1.850 4.928 -92.656
ttt_random_weapon	-3595.473145 183.953232 9.193133	1.952 4.926 -92.420
ttt_random_weapon	-3469.915527 180.507095 9.190574	1.981 4.920 -92.354
ttt_random_weapon	-3339.684326 183.126801 9.203642	1.834 4.930 -92.691
ttt_random_weapon	-3657.106445 490.545715 17.927746	1.874 4.930 -92.601
ttt_random_weapon	-3770.968506 691.292419 278.139954	1.389 1.970 -93.300
ttt_random_weapon	-3620.705566 768.634399 278.190704	1.232 3.789 -94.259
ttt_random_weapon	-3801.490479 941.297546 41.203068	1.812 5.715 -92.855
ttt_random_weapon	-3696.736084 1055.308105 41.173145	2.073 6.224 -92.079
ttt_random_weapon	-3666.242676 1057.066528 127.246620	1.268 1.867 -94.381
ttt_random_weapon	-3658.235107 1048.964233 127.204391	1.826 4.272 -92.710
ttt_random_weapon	-3806.022949 902.001953 127.244179	1.379 5.108 -93.894
ttt_random_weapon	-3790.970703 895.823059 127.188866	1.777 3.514 -92.596
ttt_random_weapon	-3491.867920 662.269897 65.206673	1.800 4.775 -92.769
ttt_random_weapon	-3570.719727 661.247681 65.210266	1.759 4.772 -92.862
ttt_random_weapon	-3666.793945 661.594910 65.206673	1.800 4.775 -92.769
ttt_random_weapon	-1402.605103 2406.272949 9.238350	1.442 4.967 -93.589
ttt_random_weapon	-1389.741089 2205.696045 9.223288	1.612 4.987 -93.199
ttt_random_weapon	-1341.202881 2200.491211 9.219240	1.658 4.987 -93.094
ttt_random_weapon	-1351.276367 2424.801025 9.226440	1.577 4.985 -93.280
ttt_random_weapon	-1443.215088 2308.869141 57.623436	-1.947 91.753 85.052
ttt_random_weapon	-1534.835083 2518.810303 30.798662	-2.260 -11.917 -95.713
ttt_random_weapon	-1559.856689 2440.779053 9.735228	-1.888 -141.624 85.034
ttt_random_weapon	-981.925171 2869.162842 35.496902	1.793 4.774 -92.785
ttt_random_weapon	-934.144958 2870.487061 35.488018	1.893 4.781 -92.556
ttt_random_weapon	-3540.693848 1850.350464 154.772919	17.510 -41.760 -77.224
