# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_concrete_b3
# Exported by: [OM] Rogue: The Lonely
setting:	replacespawns 0
weapon_ttt_smokegrenade	-1692.904541 2470.390137 144.163635	-1.415 -1.487 -1.440
weapon_ttt_smokegrenade	-1693.071045 2454.380615 144.154037	-1.620 -1.419 -1.649
weapon_ttt_smokegrenade	-1763.885132 2466.520508 144.148117	-1.746 -1.380 -1.779
weapon_ttt_smokegrenade	-1759.135254 2453.335693 144.146881	-1.773 -1.379 -1.806
ttt_random_weapon	-1122.149170 855.255920 169.105209	1.676 4.946 -93.054
ttt_random_weapon	-1263.281006 868.991272 65.208115	1.784 4.928 -92.806
ttt_random_weapon	-928.505615 277.390076 113.056992	1.632 14.958 -94.307
ttt_random_weapon	-928.278442 295.481293 113.019875	1.346 16.053 -92.993
ttt_random_weapon	-354.083038 347.807953 112.972656	1.381 12.793 -94.154
ttt_random_weapon	-352.369537 367.021454 113.041840	1.803 18.032 -94.829
ttt_random_weapon	61.062248 1057.744019 113.042725	1.800 4.775 -92.769
ttt_random_weapon	-997.734192 1135.872314 113.002625	1.478 -4.008 -92.620
ttt_random_weapon	-489.573914 945.572632 113.032936	1.910 4.782 -92.516
ttt_random_weapon	-423.930878 954.043579 129.506668	1.580 4.759 -93.273
ttt_random_weapon	-339.602295 978.086365 159.454956	1.753 4.772 -92.877
ttt_random_weapon	282.229736 776.469910 321.035950	1.876 4.780 -92.594
ttt_random_weapon	-1513.857788 203.734955 433.304504	1.946 4.720 -92.435
ttt_random_weapon	-1427.857056 196.325821 433.323822	1.728 4.704 -92.934
ttt_random_weapon	-1154.904785 218.102951 433.341919	1.524 4.679 -93.402
ttt_random_weapon	-1153.894775 397.928497 433.332581	1.629 4.694 -93.160
ttt_random_weapon	-1005.016479 320.512421 433.330933	1.648 4.695 -93.118
ttt_random_weapon	-1778.369019 292.233276 462.757660	-4.521 -4.413 -6.735
ttt_random_weapon	-1781.735840 256.465668 605.218872	1.662 4.697 -93.084
ttt_random_weapon	-1856.839722 702.373352 705.199402	1.882 4.926 -92.582
ttt_random_weapon	-1858.037842 819.388855 705.204529	1.824 4.963 -92.715
ttt_random_weapon	-1857.095703 1100.939819 657.206726	1.799 5.304 -92.772
ttt_random_weapon	-1855.718628 1343.509155 657.195557	1.925 4.924 -92.483
ttt_random_weapon	-2372.270264 1030.033081 625.208130	1.784 4.928 -92.806
ttt_random_weapon	-2352.853516 747.265625 625.215271	1.703 4.926 -92.991
ttt_random_weapon	-2285.705566 747.935181 625.201599	1.857 4.928 -92.638
ttt_random_weapon	-2299.562744 503.613953 625.202271	1.850 4.928 -92.656
ttt_random_weapon	-2359.803711 497.288147 625.207520	1.791 4.929 -92.791
ttt_random_weapon	-2381.614258 241.250549 625.197937	1.899 4.927 -92.543
ttt_random_weapon	-2305.182129 200.424088 625.200867	1.865 4.929 -92.619
ttt_random_weapon	-1534.637207 2815.190186 657.239075	1.433 4.905 -93.609
ttt_random_weapon	-1529.829712 2776.496094 657.218567	1.666 4.924 -93.076
ttt_random_weapon	-1521.618896 2725.803223 657.223816	1.606 4.920 -93.213
ttt_random_weapon	-249.632599 2305.634033 657.219849	1.651 4.923 -93.110
ttt_random_weapon	-339.451111 2314.044189 657.220703	1.642 4.922 -93.132
ttt_random_weapon	-335.104126 2295.087158 657.694641	-1.503 -14.507 84.473
ttt_random_weapon	-560.690552 2492.121826 729.195313	1.928 4.719 -92.477
ttt_random_weapon	-1072.220093 2324.496338 513.215027	1.706 4.987 -92.985
ttt_random_weapon	-896.304260 2314.155273 513.225098	1.592 4.986 -93.245
ttt_random_weapon	-607.658569 2313.313477 513.224731	1.596 4.987 -93.236
ttt_random_weapon	-262.713226 2303.549072 369.230286	1.533 4.981 -93.380
ttt_random_weapon	-571.888550 2792.973633 225.223663	1.608 4.988 -93.208
ttt_random_weapon	-288.905640 2821.265381 225.227402	1.566 4.984 -93.305
ttt_random_weapon	-1527.542847 2767.973389 242.138153	1.272 13.265 -94.277
ttt_random_weapon	-1410.450684 2823.892090 243.567810	-3.948 5.063 -14.919
ttt_random_weapon	-1312.684204 2341.316895 153.141586	2.328 4.565 -92.368
ttt_random_weapon	-1170.442871 2193.870605 129.208206	1.757 5.715 -92.967
ttt_random_weapon	-1954.887207 2555.073975 194.117798	3.866 3.755 -93.561
ttt_random_weapon	-2071.604980 2684.391602 187.045929	-3.442 1.143 -26.485
ttt_random_weapon	-2069.819092 2630.109863 183.573441	1.681 3.918 -90.823
ttt_random_weapon	-2070.609863 2591.133789 182.131119	1.551 3.881 -91.125
ttt_random_weapon	-2066.239014 2554.166016 180.735092	1.628 3.905 -90.946
ttt_random_weapon	-1909.192749 2219.379639 145.189041	1.998 5.006 -92.314
