# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_lost_temple_v2
# Exported by: [REALM] Robopossum
setting:	replacespawns 0
weapon_ttt_smokegrenade	242.813004 468.811005 -1371.270020	0.000 316.500 0.000
weapon_ttt_smokegrenade	233.679001 466.450012 -1371.270020	0.000 17.500 112.000
weapon_ttt_smokegrenade	227.669006 452.852997 -1369.270020	0.000 263.000 -79.500
weapon_ttt_smokegrenade	2536.739990 -279.931000 -1355.270020	0.000 0.000 0.000
weapon_ttt_smokegrenade	2532.800049 -295.188995 -1355.270020	0.000 0.000 0.000
weapon_ttt_smokegrenade	2530.229980 -284.473999 -1355.270020	0.000 0.000 0.000
weapon_ttt_smokegrenade	1490.739990 2264.800049 -1414.270020	0.000 0.000 0.000
weapon_ttt_smokegrenade	1469.000000 2272.070068 -1414.270020	0.000 0.000 0.000
weapon_ttt_smokegrenade	1483.239990 2270.389893 -1414.270020	0.000 0.000 0.000
weapon_ttt_smokegrenade	3019.080078 -438.812012 -1396.270020	0.000 0.000 0.000
weapon_ttt_smokegrenade	383.203003 254.298004 -1406.469971	0.000 0.000 0.000
weapon_ttt_smokegrenade	3997.100098 41.000000 -1380.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	-420.056000 -2718.979980 -1384.719971	0.000 270.000 0.000
weapon_ttt_smokegrenade	-359.000000 -2706.100098 -1380.000000	0.000 270.000 0.000
ttt_random_weapon	424.172607 -163.702972 -1409.958130	-3.014 1.040 -105.140
ttt_random_weapon	263.554932 -434.882324 -1412.471436	-4.313 -1.169 -101.472
ttt_random_weapon	-211.167435 -506.966309 -1406.931396	7.629 18.847 75.086
ttt_random_weapon	-369.334717 -150.699631 -1408.655151	-3.578 7.199 -107.935
ttt_random_weapon	-387.161316 216.897110 -1414.314575	6.178 -19.481 -91.727
ttt_random_weapon	-225.620087 433.418518 -1412.863525	13.151 -23.947 -91.001
ttt_random_weapon	1052.622925 2128.538574 -1418.780762	1.658 4.987 -93.094
ttt_random_weapon	1512.281250 1629.259399 -1412.801636	1.893 4.781 -92.555
ttt_random_weapon	468.682434 1171.907227 -1358.782959	1.683 4.766 -93.036
ttt_random_weapon	941.960510 -1101.155029 -1628.830811	2.172 5.688 -92.115
ttt_random_weapon	-186.492661 -2080.201904 -1400.789551	1.758 4.926 -92.866
ttt_random_weapon	2035.315796 215.605637 -1253.823975	2.099 5.703 -92.265
item_ammo_smg1_ttt	-968.434021 1375.290039 -1401.660034	0.000 0.000 0.000
item_ammo_smg1_ttt	-953.507996 1373.969971 -1401.660034	0.000 0.000 0.000
item_ammo_smg1_ttt	-961.018982 1399.650024 -1401.660034	0.000 0.000 0.000
weapon_ttt_m16	-79.000000 -2720.000000 -1364.000000	0.000 48.000 0.000
weapon_ttt_m16	1527.000000 2214.000000 -1382.319946	0.000 0.000 0.000
weapon_ttt_m16	3755.530029 -456.488007 -1363.750000	0.000 238.500 0.000
weapon_ttt_m16	-411.000000 -2704.000000 -1381.000000	0.000 3.500 0.000
item_box_buckshot_ttt	320.000000 -1774.000000 -1360.709961	0.000 341.500 0.000
item_box_buckshot_ttt	300.000000 -1773.000000 -1360.709961	0.000 20.500 0.000
item_box_buckshot_ttt	296.000000 -1793.000000 -1360.709961	0.000 301.500 0.000
item_box_buckshot_ttt	314.000000 -1789.000000 -1360.709961	0.000 22.000 0.000
item_box_buckshot_ttt	323.000000 -1806.000000 -1360.709961	0.000 16.000 0.000
item_box_buckshot_ttt	299.332001 -1807.410034 -1360.709961	0.000 40.000 0.000
item_box_buckshot_ttt	-712.000000 -3092.000000 -1428.000000	0.000 37.000 0.000
item_box_buckshot_ttt	-715.578979 -3073.000000 -1423.000000	0.000 0.000 0.000
item_box_buckshot_ttt	-703.000000 -3061.000000 -1420.000000	5.736 333.059 11.125
item_box_buckshot_ttt	1203.000000 2050.570068 -1419.709961	0.000 327.500 0.000
item_box_buckshot_ttt	1196.000000 2033.569946 -1419.709961	0.000 0.000 0.000
item_box_buckshot_ttt	1218.000000 2052.570068 -1419.709961	0.000 250.000 0.000
item_box_buckshot_ttt	1256.199951 2049.570068 -1419.709961	0.000 265.000 0.000
item_box_buckshot_ttt	1272.530029 2041.119995 -1419.709961	0.000 232.500 0.000
item_box_buckshot_ttt	1273.209961 2026.000000 -1419.709961	0.000 155.000 0.000
item_box_buckshot_ttt	609.778992 1763.000000 -1363.709961	0.000 329.500 0.000
item_box_buckshot_ttt	620.692017 1770.810059 -1363.709961	0.000 13.000 0.000
item_box_buckshot_ttt	-371.835999 -2282.000000 -1358.719971	0.000 333.000 0.000
item_box_buckshot_ttt	-372.835999 -2265.000000 -1358.719971	0.000 294.500 0.000
item_box_buckshot_ttt	-352.835999 -2276.000000 -1358.719971	0.000 242.000 0.000
ttt_random_ammo	385.396393 -183.003143 -1407.880981	4.043 1.903 6.836
ttt_random_ammo	385.940582 -171.227234 -1408.688110	3.813 -2.830 -8.897
ttt_random_ammo	279.758514 -454.026398 -1406.317871	-6.161 9.187 -98.820
ttt_random_ammo	269.087463 -464.271515 -1405.976074	-5.119 11.612 -101.114
ttt_random_ammo	-242.480453 -492.313721 -1407.246338	-0.116 -2.940 -100.519
ttt_random_ammo	-222.262772 -481.571472 -1409.891846	3.369 0.972 -92.611
ttt_random_ammo	-401.427521 -142.118149 -1411.288696	7.740 5.122 0.499
ttt_random_ammo	-403.178040 -128.280701 -1411.717896	5.174 0.240 -2.584
ttt_random_ammo	-405.928467 198.584839 -1415.052612	8.468 -0.406 6.266
ttt_random_ammo	-386.021545 196.305466 -1417.641235	0.033 0.000 -0.053
ttt_random_ammo	-236.366547 461.707214 -1403.568970	5.343 0.646 97.493
ttt_random_ammo	-212.204697 455.571960 -1408.324219	76.588 146.160 155.312
ttt_random_ammo	1055.757935 2097.091064 -1419.627319	0.111 0.000 0.071
ttt_random_ammo	1036.949463 2105.941406 -1419.619019	0.192 0.001 0.173
ttt_random_ammo	1537.109009 1605.991821 -1419.672241	0.047 0.000 -0.031
ttt_random_ammo	1513.055542 1601.760010 -1419.630859	0.092 0.000 0.046
ttt_random_ammo	449.829315 1183.286499 -1359.639404	-0.062 -0.000 0.006
ttt_random_ammo	465.633881 1185.750366 -1359.615967	0.241 0.001 0.236
ttt_random_ammo	951.557129 -1128.192993 -1629.617676	0.203 -0.001 -0.189
ttt_random_ammo	935.713684 -1126.638794 -1629.620728	0.162 -0.001 -0.138
ttt_random_ammo	-208.432831 -2065.028564 -1401.638428	0.067 0.000 0.012
ttt_random_ammo	-194.513428 -2064.675293 -1401.664673	0.046 0.000 -0.027
ttt_random_ammo	-183.905899 -2063.666748 -1401.630737	0.090 0.000 0.044
ttt_random_ammo	2012.244263 237.620850 -1254.648804	0.051 0.000 -0.011
ttt_random_ammo	2029.724854 235.613632 -1254.642456	0.057 0.000 0.000
weapon_zm_rifle	-983.000000 -3228.000000 -1452.000000	0.000 44.500 0.000
weapon_zm_rifle	1380.000000 1631.000000 -1353.040039	0.000 39.500 -89.000
weapon_zm_rifle	532.421997 699.612976 -1369.040039	0.000 0.000 0.000
weapon_zm_rifle	546.000000 714.000000 -1369.040039	0.000 0.000 0.000
weapon_zm_rifle	3562.000000 -19.000000 -1356.040039	0.000 72.500 0.000
weapon_zm_mac10	237.000000 357.000000 -1408.150024	0.000 352.000 -74.000
weapon_zm_mac10	346.000000 -2747.000000 -1365.000000	0.000 268.000 -86.000
weapon_zm_mac10	344.000000 -2719.000000 -1368.000000	0.000 291.500 -86.000
weapon_zm_mac10	1110.000000 1805.000000 -1350.530029	0.000 0.000 0.000
