# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_nuclear_power_b2
# Exported by: [OM] Rogue: The Lonely
setting:	replacespawns 0
weapon_ttt_smokegrenade	-272.000000 -3326.000000 388.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	-270.000000 -3318.000000 388.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	250.000000 -3332.000000 388.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	252.000000 -3324.000000 388.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	640.000000 -2470.000000 388.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	640.000000 -2476.000000 388.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	646.000000 -2476.000000 388.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	646.000000 -2470.000000 388.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	2399.229980 -1352.560059 -115.264999	0.000 270.000 0.000
weapon_ttt_smokegrenade	2405.229980 -1352.560059 -115.264999	0.000 270.000 0.000
weapon_ttt_smokegrenade	2405.229980 -1346.560059 -115.264999	0.000 270.000 0.000
weapon_ttt_smokegrenade	2399.229980 -1346.560059 -115.264999	0.000 270.000 0.000
weapon_ttt_smokegrenade	-2464.000000 -612.000000 -299.265015	0.000 0.000 0.000
weapon_ttt_smokegrenade	-2470.000000 -612.000000 -299.265015	0.000 0.000 0.000
weapon_ttt_smokegrenade	-996.000000 448.000000 4.735110	0.000 0.000 0.000
weapon_ttt_smokegrenade	-996.000000 442.000000 4.735110	0.000 0.000 0.000
weapon_ttt_smokegrenade	46.444099 719.476013 4.735110	0.000 0.000 0.000
weapon_ttt_smokegrenade	46.444099 713.476013 4.735110	0.000 0.000 0.000
weapon_ttt_smokegrenade	608.000000 278.000000 1052.739990	0.000 90.000 0.000
weapon_ttt_smokegrenade	-50.000000 914.000000 1158.739990	0.000 0.000 0.000
weapon_ttt_smokegrenade	-50.000000 920.000000 1158.739990	0.000 0.000 0.000
weapon_ttt_smokegrenade	-56.000000 920.000000 1158.739990	0.000 0.000 0.000
weapon_ttt_smokegrenade	-56.000000 914.000000 1158.739990	0.000 0.000 0.000
ttt_random_weapon	-408.052277 -2671.626221 409.233307	1.499 5.273 -93.458
ttt_random_weapon	-626.273376 -2928.119873 353.205139	1.817 3.577 -92.730
ttt_random_weapon	-616.266113 -2866.370605 353.237701	1.449 3.539 -93.572
ttt_random_weapon	-621.292542 -3059.372803 353.196564	1.914 3.584 -92.509
ttt_random_weapon	-622.191284 -2729.805176 353.196564	1.914 3.584 -92.509
ttt_random_weapon	-168.830261 -3871.672852 385.173431	2.169 -0.808 -91.940
ttt_random_weapon	-159.217758 -3862.902344 385.167542	2.185 3.323 -92.106
ttt_random_weapon	-264.047852 -3657.553467 447.750000	7.971 0.590 -4.465
ttt_random_weapon	1118.969727 -2383.171143 385.216583	1.688 4.700 -93.025
ttt_random_weapon	1106.295288 -2323.335449 385.209717	1.766 4.708 -92.848
ttt_random_weapon	1107.034912 -2272.210938 385.231873	1.515 4.677 -93.421
ttt_random_weapon	1166.322144 -2655.676758 421.213043	1.728 4.704 -92.934
ttt_random_weapon	1160.795166 -2627.408447 421.221802	1.629 4.694 -93.160
ttt_random_weapon	1168.238647 -2609.466797 421.744843	-2.000 9.996 85.289
ttt_random_weapon	2021.052368 -112.222534 -302.777802	1.625 4.692 -93.170
ttt_random_weapon	2077.230225 -127.807518 -302.769409	1.530 4.680 -93.388
ttt_random_weapon	2128.687988 -152.321060 -302.779022	1.638 4.694 -93.139
ttt_random_weapon	-30.241875 -736.319580 -462.787476	1.734 4.705 -92.920
ttt_random_weapon	3.236409 -734.678833 -462.795898	1.829 4.713 -92.703
ttt_random_weapon	41.925247 -714.539307 -462.835327	1.895 0.569 -92.243
ttt_random_weapon	51.346443 -723.243347 -462.754700	1.303 -21.000 -93.838
ttt_random_weapon	-48.867702 704.904724 -462.781219	1.623 3.489 -93.128
ttt_random_weapon	24.928558 714.493164 -462.753784	1.994 4.584 -89.737
ttt_random_weapon	31.032318 709.462280 -462.060791	-2.170 3.569 -88.899
ttt_random_weapon	83.708344 713.707031 -462.849457	2.230 2.000 -92.582
ttt_random_weapon	-2052.330322 292.236176 -302.780273	1.653 4.697 -93.107
ttt_random_weapon	-2052.389404 270.945068 -302.782501	1.678 4.699 -93.049
ttt_random_weapon	-1911.413330 -183.693085 -302.798645	1.860 4.715 -92.632
ttt_random_weapon	-1925.382935 -166.779205 -302.775909	1.603 4.689 -93.219
ttt_random_weapon	-1512.517578 -1.080399 1049.234375	1.466 4.999 -93.510
ttt_random_weapon	-1592.965332 -242.289734 1049.202759	1.845 4.713 -92.667
ttt_random_weapon	-1585.997925 239.530228 1049.221802	1.629 4.693 -93.160
ttt_random_weapon	-1590.963867 6.406896 1049.220947	1.639 4.693 -93.139
ttt_random_weapon	-620.760132 217.392059 1049.208496	1.779 4.708 -92.816
ttt_random_weapon	708.446533 471.709351 1049.206055	1.807 4.711 -92.753
ttt_random_weapon	900.900452 471.756958 1049.217529	1.678 4.698 -93.049
ttt_random_weapon	908.367371 518.252380 1049.197632	1.902 4.717 -92.536
ttt_random_weapon	708.064636 520.064758 1049.228027	1.559 4.683 -93.322
ttt_random_weapon	902.439087 497.621582 1049.218384	1.668 4.697 -93.072
ttt_random_weapon	706.229309 498.842224 1049.225464	1.588 4.688 -93.255
ttt_random_weapon	518.131897 -910.612061 641.230896	1.527 4.679 -93.395
ttt_random_weapon	504.110260 -1199.252808 769.226196	1.580 4.686 -93.273
ttt_random_weapon	792.276062 -1244.421143 897.232971	1.503 4.266 -93.450
ttt_random_weapon	946.560974 -890.870361 513.194519	1.937 4.719 -92.456
ttt_random_weapon	785.080811 -1760.146851 385.235168	1.478 4.672 -93.506
ttt_random_weapon	781.758972 -1799.768433 385.217529	1.678 4.699 -93.049
