# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_rooftops_a2
# Exported by: [OM] Rogue: The Lonely
setting:	replacespawns 0
weapon_ttt_smokegrenade	505.287994 2198.669922 305.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	489.855988 2198.899902 305.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	718.000000 2352.000000 318.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	149.626007 2567.159912 304.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	401.989014 2439.469971 422.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	1888.959961 1706.109985 773.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	1782.949951 1700.430054 389.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	2721.800049 1462.969971 773.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	3395.919922 2404.189941 645.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	3088.000000 1248.000000 453.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	1801.469971 1086.300049 261.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	1590.699951 90.849297 71.734596	0.000 0.000 0.000
weapon_ttt_smokegrenade	1578.079956 89.200996 71.734596	0.000 0.000 0.000
weapon_ttt_smokegrenade	1938.680054 -180.332001 390.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	1905.699951 32.869701 390.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	905.859009 -1398.890015 581.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	465.270996 -1060.300049 69.734596	0.000 0.000 0.000
weapon_ttt_smokegrenade	159.960999 81.726501 69.734596	0.000 0.000 0.000
weapon_ttt_smokegrenade	-111.920998 -101.806999 69.734596	0.000 0.000 0.000
weapon_ttt_smokegrenade	762.304993 -23.528500 69.734596	0.000 0.000 0.000
weapon_ttt_smokegrenade	1262.140015 396.980011 389.734985	0.000 0.000 0.000
weapon_ttt_smokegrenade	-712.799011 -12.701500 -184.264999	0.000 0.000 0.000
weapon_ttt_smokegrenade	-707.219971 -796.322021 69.734596	0.000 0.000 0.000
weapon_ttt_smokegrenade	1197.000000 -180.000000 99.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	1244.079956 -52.781601 69.734596	0.000 0.000 0.000
weapon_ttt_smokegrenade	872.000000 118.000000 100.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	1322.000000 126.000000 102.000000	0.000 0.000 0.000
weapon_ttt_smokegrenade	1318.000000 234.000000 102.000000	0.000 0.000 0.000
ttt_random_weapon	924.330017 -1141.099976 586.372986	0.000 0.000 0.000
ttt_random_weapon	777.000000 204.000000 200.000000	0.000 0.000 0.000
ttt_random_weapon	740.000000 -1124.530029 756.000000	0.000 0.000 0.000
ttt_random_weapon	1364.000000 198.000000 74.372902	0.000 0.000 0.000
ttt_random_weapon	1362.000000 156.000000 74.372902	0.000 0.000 0.000
ttt_random_weapon	1320.000000 242.000000 102.000000	0.000 0.000 0.000
ttt_random_weapon	1320.000000 116.000000 102.000000	0.000 0.000 0.000
ttt_random_weapon	-663.488831 -27.629908 -189.822495	6.249 3.310 -93.837
ttt_random_weapon	-727.087952 -28.416903 -188.756622	1.177 4.188 -94.986
ttt_random_weapon	-583.423218 106.089211 65.219864	1.651 4.923 -93.110
ttt_random_weapon	-817.201050 100.681442 65.201576	1.857 4.928 -92.638
ttt_random_weapon	254.783798 -15.824095 65.226585	1.575 4.917 -93.284
ttt_random_weapon	775.809326 110.586220 209.213013	1.728 4.770 -92.933
ttt_random_weapon	835.695618 1327.497559 257.227844	1.561 4.916 -93.317
ttt_random_weapon	1358.155273 1313.107788 257.228149	1.557 4.916 -93.325
ttt_random_weapon	1715.995850 1063.241333 287.215332	1.681 5.718 -93.123
ttt_random_weapon	1688.431641 995.476624 287.198792	1.858 5.714 -92.761
ttt_random_weapon	1752.308472 992.965393 287.225281	1.575 5.722 -93.341
ttt_random_weapon	1887.947998 368.565674 385.242310	1.393 5.733 -93.714
ttt_random_weapon	1822.010620 64.882904 385.167999	2.184 5.689 -92.089
ttt_random_weapon	1853.584229 -169.419998 386.066681	-3.070 2.932 -94.859
ttt_random_weapon	1864.299072 -300.420471 385.202393	1.819 5.715 -92.840
ttt_random_weapon	2099.717529 -311.943817 385.214844	1.687 5.718 -93.112
ttt_random_weapon	2142.016113 -41.249203 385.169189	2.172 5.688 -92.115
ttt_random_weapon	2145.079590 230.460190 385.215332	1.681 5.718 -93.123
ttt_random_weapon	2091.884033 373.608612 385.160339	2.265 5.679 -91.922
ttt_random_weapon	2515.087646 1379.134155 823.353455	1.837 4.777 -92.685
ttt_random_weapon	2730.081543 1499.329590 786.968384	1.756 5.841 -92.562
ttt_random_weapon	3221.976563 2080.357910 513.206909	1.798 4.929 -92.775
ttt_random_weapon	3226.622070 1954.732056 513.223450	1.611 4.920 -93.203
