# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_whitehouse_b2
# Exported by: [REALM] Robopossum
setting:	replacespawns 0
ttt_random_weapon	3038.564209 -864.749146 87.287842	1.639 4.988 -93.138
ttt_random_weapon	2444.338623 -982.608276 97.811348	1.629 5.827 -93.162
ttt_random_weapon	2064.028320 -724.034485 105.217484	1.678 4.766 -93.049
ttt_random_weapon	1991.376953 -720.513794 105.207901	1.786 4.774 -92.801
ttt_random_weapon	2050.597412 -365.967621 95.725670	1.812 5.715 -92.855
ttt_random_weapon	1618.635742 -231.874359 99.048950	1.345 3.835 -94.141
ttt_random_weapon	1744.718506 -776.347778 102.657410	-1.971 -6.870 84.876
ttt_random_weapon	-322.012970 -24.370838 65.188049	1.972 5.707 -92.526
ttt_random_weapon	-156.305161 -473.682343 65.179268	2.065 5.700 -92.335
ttt_random_weapon	28.181545 -866.336426 65.217438	1.679 4.988 -93.047
ttt_random_weapon	385.669220 -598.620178 197.235687	1.472 4.972 -93.520
ttt_random_weapon	596.778320 -524.065613 -446.812103	2.011 4.924 -92.285
weapon_ttt_m16	526.068970 -833.166992 -414.709015	0.500 270.000 90.000
weapon_ttt_m16	539.088989 -851.218994 -413.441986	-0.500 90.000 -90.000
weapon_ttt_m16	1115.290039 -1627.569946 -412.182007	0.000 0.000 90.000
weapon_ttt_m16	1060.989990 -1627.800049 -412.182007	0.000 0.000 90.000
weapon_ttt_m16	712.682983 -515.310974 200.682999	-0.500 90.000 -90.000
item_box_buckshot_ttt	770.023010 -830.937012 64.293900	0.000 0.000 0.000
item_box_buckshot_ttt	749.418030 -813.544006 64.293900	0.000 0.000 0.000
item_box_buckshot_ttt	723.572998 -801.971985 64.293900	0.000 0.000 0.000
item_box_buckshot_ttt	766.723022 -186.804993 64.293900	0.000 0.000 0.000
item_box_buckshot_ttt	764.908020 -218.505005 64.293900	0.000 0.000 0.000
item_box_buckshot_ttt	-50.567699 -1685.209961 -413.821991	0.000 289.000 0.000
item_box_buckshot_ttt	-36.773899 -1681.349976 -413.821991	0.000 234.000 0.000
item_box_buckshot_ttt	-22.883699 -1685.439941 -413.821991	0.000 268.000 0.000
item_box_buckshot_ttt	748.349976 -194.184006 64.293900	0.000 0.000 0.000
item_box_buckshot_ttt	2426.639893 -215.727997 64.293900	0.000 0.000 0.000
item_box_buckshot_ttt	2410.000000 -214.817993 64.293900	0.000 0.000 0.000
item_box_buckshot_ttt	2426.610107 -238.126999 64.293900	0.000 0.000 0.000
item_box_buckshot_ttt	2409.969971 -237.216995 64.293900	0.000 0.000 0.000
item_box_buckshot_ttt	2426.010010 -258.441986 64.293900	0.000 0.000 0.000
item_box_buckshot_ttt	2409.370117 -257.532990 64.293900	0.000 0.000 0.000
item_box_buckshot_ttt	2693.350098 -1117.119995 97.164597	0.000 90.000 0.000
item_box_buckshot_ttt	2559.989990 -1113.930054 97.164597	0.000 90.000 0.000
item_box_buckshot_ttt	829.619019 -1663.630005 -447.705994	0.000 268.000 0.000
item_box_buckshot_ttt	851.135986 -1665.189941 -447.705994	0.000 268.000 0.000
item_box_buckshot_ttt	2392.530029 -204.479996 64.293900	0.000 0.000 0.000
item_box_buckshot_ttt	2374.909912 -202.822006 64.293900	0.000 0.000 0.000
item_box_buckshot_ttt	2417.560059 -201.289001 64.293900	0.000 0.000 0.000
item_box_buckshot_ttt	2436.280029 -202.613998 64.293900	0.000 0.000 0.000
item_box_buckshot_ttt	-148.311996 -2071.919922 -468.321014	0.000 268.000 0.000
item_box_buckshot_ttt	-162.203003 -2067.830078 -468.321014	0.000 234.000 0.000
item_box_buckshot_ttt	-175.996002 -2071.689941 -468.321014	0.000 289.000 0.000
ttt_random_ammo	3046.172607 -880.217896 86.424431	0.060 -0.000 -0.001
ttt_random_ammo	3035.310547 -881.677856 86.487625	1.583 0.042 1.915
ttt_random_ammo	3023.419434 -880.261292 86.406929	0.048 -0.000 0.023
ttt_random_ammo	2454.741699 -992.559998 96.980316	-0.091 -0.000 0.053
ttt_random_ammo	2433.073730 -989.615417 96.952560	0.042 -0.000 0.022
ttt_random_ammo	2440.289551 -1019.359924 96.922211	-0.045 -0.000 -0.035
ttt_random_ammo	2000.996826 -730.107666 104.322693	0.046 0.000 -0.033
ttt_random_ammo	1990.731201 -731.641846 104.451447	0.850 0.024 1.020
ttt_random_ammo	2072.552734 -739.047302 104.337601	0.046 0.000 -0.025
ttt_random_ammo	2057.129883 -735.832947 104.415489	1.556 0.041 1.869
ttt_random_ammo	2056.798828 -376.653778 94.834526	0.047 0.000 -0.036
ttt_random_ammo	2044.293091 -377.889526 94.896988	-0.106 -0.000 0.067
ttt_random_ammo	1618.897705 -213.405441 98.178185	-0.235 -13.697 -0.528
ttt_random_ammo	1630.416138 -217.548859 98.077599	0.018 0.193 -0.429
ttt_random_ammo	1753.724976 -774.114319 101.408501	-0.017 -11.863 0.966
ttt_random_ammo	1742.456909 -782.876038 101.434586	0.005 -15.698 0.046
ttt_random_ammo	-329.826294 -40.920422 64.366539	-0.073 -0.000 0.024
ttt_random_ammo	-315.546997 -39.767307 64.458038	-1.070 -0.028 1.287
